hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day,season
51999,8871,27468,95470,0.8542631838344011,0.3456529125297293,0.588636826733682,1.3055199605717103,0.33116077646239556,0.43233700383008355,neuralgcm,ERA5,5,1,annual
17407,11903,13897,140601,0.5938928693278744,0.44393687707641194,0.4028745342189923,1.0680313886045718,0.15945987116991645,0.17030814763231197,neuralgcm,ERA5,5,5,annual
3538,10695,4023,165552,0.24857725005269443,0.5320724771855575,0.19379929886064856,0.5312302395840652,0.07743406162952646,0.041135315111420614,neuralgcm,ERA5,5,10,annual
155,3159,238,180256,0.04677127338563669,0.6055979643765903,0.043637387387387386,0.11858780929390465,0.01802968314763231,0.002138100626740947,neuralgcm,ERA5,5,20,annual
44494,16305,13973,109036,0.7318212470599845,0.2389895154531616,0.595062322794629,0.9616441059885853,0.33077450383008355,0.3180873520194986,fourcastnet,ERA5,7,1,annual
12523,16680,5662,148943,0.4288258055679211,0.3113555127852626,0.3591854295138391,0.6227099955484026,0.15887774199164345,0.09893475800835655,fourcastnet,ERA5,7,5,annual
3044,11115,2287,167362,0.21498693410551592,0.42900018758206715,0.18509059953788154,0.37650964051133556,0.0770314676183844,0.029003090181058497,fourcastnet,ERA5,7,10,annual
202,3085,409,180112,0.06145421356860359,0.6693944353518821,0.054653679653679656,0.18588378460602373,0.01788279073816156,0.0033241208217270196,fourcastnet,ERA5,7,20,annual
53373,7426,21703,101306,0.8778598332209412,0.28908039852949013,0.6469297713994813,1.2348229411667955,0.33077450383008355,0.40844794568245124,gencast,ERA5,7,1,annual
19802,9401,12854,141751,0.6780810190733829,0.3936183243508084,0.47083719713721855,1.1182412765811731,0.15887774199164345,0.17766364902506965,gencast,ERA5,7,5,annual
5774,8385,5657,163992,0.40779716081644185,0.49488233750328053,0.29138070246265646,0.8073310262024154,0.0770314676183844,0.06218989380222841,gencast,ERA5,7,10,annual
435,2852,778,179743,0.13233951931852753,0.6413849958779885,0.1070110701107011,0.36902951019166413,0.01788279073816156,0.006599277506963788,gencast,ERA5,7,20,annual
51433,9366,54355,68654,0.845951413674567,0.513810640148221,0.446645361863244,1.7399628283359925,0.33077450383008355,0.5755353412256268,graphcast,ERA5,7,1,annual
13113,16090,23657,130948,0.44902920932780876,0.6433777536034812,0.24807037457434733,1.2591172139848645,0.15887774199164345,0.20004569986072424,graphcast,ERA5,7,5,annual
2313,11846,8061,161588,0.163358994279257,0.7770387507229612,0.1040954095409541,0.7326788615015185,0.0770314676183844,0.05643932799442897,graphcast,ERA5,7,10,annual
69,3218,642,179879,0.02099178582293885,0.9029535864978903,0.0175617205395775,0.21630666261028295,0.01788279073816156,0.003868166782729805,graphcast,ERA5,7,20,annual
52966,7833,30384,92625,0.8711656441717791,0.36453509298140374,0.5808758211508724,1.370910705768187,0.33077450383008355,0.45346230849582175,neuralgcm,ERA5,7,1,annual
17972,11231,16054,138551,0.6154162243605109,0.4718156703697173,0.39710983936186667,1.1651542649727769,0.15887774199164345,0.1851170786908078,neuralgcm,ERA5,7,5,annual
3701,10458,5045,164604,0.26138851613814534,0.5768351246284016,0.19272026661112268,0.6176989900416696,0.0770314676183844,0.04758225974930362,neuralgcm,ERA5,7,10,annual
144,3143,290,180231,0.043808944326133255,0.6682027649769585,0.04025719876991893,0.13203529053848495,0.01788279073816156,0.002361159470752089,neuralgcm,ERA5,7,20,annual
