hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day
13301,3925,6727,23151,0.7721467549053755,0.3358797683243459,0.5552957875840187,1.1626610936955764,0.36570142663043476,0.4251868206521739,gencast,CHIRPS,3,1
4684,3943,4095,34382,0.5429465631157993,0.4664540380453355,0.3681811036000629,1.017619102816738,0.18314792798913043,0.1863748301630435,gencast,CHIRPS,3,5
1409,2855,1973,40867,0.3304409005628518,0.5833826138379657,0.22590989257655925,0.7931519699812383,0.09052309782608696,0.07179857336956522,gencast,CHIRPS,3,10
198,996,477,45433,0.1658291457286432,0.7066666666666667,0.118491921005386,0.5653266331658291,0.025348165760869564,0.01432999320652174,gencast,CHIRPS,3,20
13446,3780,11065,18813,0.780564263322884,0.4514299702174534,0.4752748223816762,1.422907233252061,0.36570142663043476,0.5203592051630435,graphcast,CHIRPS,3,1
2974,5653,3933,34544,0.3447316564274951,0.5694223251773564,0.23678343949044586,0.8006259418105947,0.18314792798913043,0.1466329823369565,graphcast,CHIRPS,3,5
604,3660,1576,41264,0.14165103189493433,0.7229357798165138,0.10342465753424658,0.5112570356472795,0.09052309782608696,0.04628057065217391,graphcast,CHIRPS,3,10
26,1168,225,45685,0.021775544388609715,0.896414342629482,0.018322762508809022,0.2102177554438861,0.025348165760869564,0.005328634510869565,graphcast,CHIRPS,3,20
14601,2625,10458,19420,0.8476140717520028,0.41733508918951273,0.5274165583008236,1.4547196098920236,0.36570142663043476,0.5319930366847826,neuralgcm,CHIRPS,3,1
4637,3990,5324,33153,0.5374985510606236,0.5344844895090854,0.3323776073399756,1.1546308102468992,0.18314792798913043,0.21146824048913043,neuralgcm,CHIRPS,3,5
979,3285,2002,40838,0.22959662288930582,0.6715867158671587,0.15624002553463134,0.699108818011257,0.09052309782608696,0.06328549592391304,neuralgcm,CHIRPS,3,10
62,1132,200,45710,0.051926298157453935,0.7633587786259542,0.04447632711621234,0.21943048576214405,0.025348165760869564,0.005562160326086957,neuralgcm,CHIRPS,3,20
11200,5888,6017,23999,0.6554307116104869,0.3494801649532439,0.4847435619995672,1.0075491573033708,0.36277173913043476,0.36551036005434784,fourcastnet,CHIRPS,5,1
2863,5620,2753,35868,0.3374985264646941,0.4902065527065527,0.2548059807760769,0.662029942237416,0.18009086277173914,0.11922554347826086,fourcastnet,CHIRPS,5,5
734,3421,1225,41724,0.1766546329723225,0.6253190403266973,0.13643122676579925,0.4714801444043321,0.08820906929347826,0.04158882472826087,fourcastnet,CHIRPS,5,10
80,1076,276,45672,0.06920415224913495,0.7752808988764045,0.055865921787709494,0.3079584775086505,0.024541440217391304,0.007557744565217391,fourcastnet,CHIRPS,5,20
13690,3398,7659,22357,0.8011470037453183,0.3587521663778163,0.5531983674788863,1.2493562734082397,0.36277173913043476,0.4532311480978261,gencast,CHIRPS,5,1
4871,3612,4762,33859,0.5742072380054226,0.49434236478770893,0.3677614194035485,1.1355652481433456,0.18009086277173914,0.20450492527173914,gencast,CHIRPS,5,5
1283,2872,2137,40812,0.3087845968712395,0.6248538011695907,0.20390972663699936,0.8231046931407943,0.08820906929347826,0.07260529891304347,gencast,CHIRPS,5,10
